date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:25:50	36999/36999	---M-Z	200	added ('OK')	text/html	date:Sun,%2028%20Sep%202025%2016:59:53%20GMT	https://www.madebydesignesia.com/themes/jess/index.html	C:/buttttt/www.madebydesignesia.com/themes/jess/index.html	(from )
08:25:57	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2028%20Feb%202026%2016:25:58%20GMT	https://www.madebydesignesia.com/robots.txt		(from )
08:26:00	160403/160403	---M-Z	200	added ('OK')	text/css	date:Wed,%2014%20Jun%202023%2005:01:38%20GMT	https://www.madebydesignesia.com/themes/jess/css/bootstrap.min.css	C:/buttttt/www.madebydesignesia.com/themes/jess/css/bootstrap.min.css	(from https://www.madebydesignesia.com/themes/jess/index.html)
08:26:00	50995/50995	---M-Z	200	added ('OK')	text/css	date:Wed,%2014%20Jun%202023%2005:01:38%20GMT	https://www.madebydesignesia.com/themes/jess/css/bootstrap-grid.min.css	C:/buttttt/www.madebydesignesia.com/themes/jess/css/bootstrap-grid.min.css	(from https://www.madebydesignesia.com/themes/jess/index.html)
08:26:00	3879/3879	---M-Z	200	added ('OK')	text/css	date:Wed,%2014%20Jun%202023%2005:01:38%20GMT	https://www.madebydesignesia.com/themes/jess/css/bootstrap-reboot.min.css	C:/buttttt/www.madebydesignesia.com/themes/jess/css/bootstrap-reboot.min.css	(from https://www.madebydesignesia.com/themes/jess/index.html)
08:26:01	3019/3019	---M-Z	200	added ('OK')	text/css	date:Wed,%2014%20Jun%202023%2005:01:38%20GMT	https://www.madebydesignesia.com/themes/jess/css/owl.carousel.css	C:/buttttt/www.madebydesignesia.com/themes/jess/css/owl.carousel.css	(from https://www.madebydesignesia.com/themes/jess/index.html)
08:26:01	935/935	---M-Z	200	added ('OK')	text/css	date:Wed,%2014%20Jun%202023%2005:01:38%20GMT	https://www.madebydesignesia.com/themes/jess/css/owl.theme.css	C:/buttttt/www.madebydesignesia.com/themes/jess/css/owl.theme.css	(from https://www.madebydesignesia.com/themes/jess/index.html)
08:26:01	3913/3913	---M-Z	200	added ('OK')	text/css	date:Wed,%2014%20Jun%202023%2005:01:38%20GMT	https://www.madebydesignesia.com/themes/jess/css/owl.transitions.css	C:/buttttt/www.madebydesignesia.com/themes/jess/css/owl.transitions.css	(from https://www.madebydesignesia.com/themes/jess/index.html)
08:26:02	75519/75519	---M-Z	200	added ('OK')	text/css	date:Wed,%2014%20Jun%202023%2005:01:38%20GMT	https://www.madebydesignesia.com/themes/jess/css/animate.css	C:/buttttt/www.madebydesignesia.com/themes/jess/css/animate.css	(from https://www.madebydesignesia.com/themes/jess/index.html)
08:26:02	6222/6222	---M-Z	200	added ('OK')	text/css	date:Wed,%2014%20Jun%202023%2005:01:38%20GMT	https://www.madebydesignesia.com/themes/jess/css/magnific-popup.css	C:/buttttt/www.madebydesignesia.com/themes/jess/css/magnific-popup.css	(from https://www.madebydesignesia.com/themes/jess/index.html)
08:26:02	1002/1002	---M-Z	200	added ('OK')	text/css	date:Wed,%2014%20Jun%202023%2005:01:38%20GMT	https://www.madebydesignesia.com/themes/jess/css/jquery.countdown.css	C:/buttttt/www.madebydesignesia.com/themes/jess/css/jquery.countdown.css	(from https://www.madebydesignesia.com/themes/jess/index.html)
08:26:02	75/75	---M--	200	added ('OK')	text/css	date:Wed,%2014%20Jun%202023%2005:01:38%20GMT	https://www.madebydesignesia.com/themes/jess/css/colors/scheme-01.css	C:/buttttt/www.madebydesignesia.com/themes/jess/css/colors/scheme-01.css	(from https://www.madebydesignesia.com/themes/jess/index.html)
08:26:02	7403/7403	---M-Z	200	added ('OK')	text/css	date:Sun,%2028%20Sep%202025%2017:00:08%20GMT	https://www.madebydesignesia.com/themes/jess/css/coloring.css	C:/buttttt/www.madebydesignesia.com/themes/jess/css/coloring.css	(from https://www.madebydesignesia.com/themes/jess/index.html)
08:26:08	53886/53886	---M--	200	added ('OK')	image/jpeg	date:Wed,%2014%20Jun%202023%2005:01:10%20GMT	https://www.madebydesignesia.com/themes/jess/images/misc/3.jpg	C:/buttttt/www.madebydesignesia.com/themes/jess/images/misc/3.jpg	(from https://www.madebydesignesia.com/themes/jess/index.html)
08:26:08	191058/191058	---M-Z	200	added ('OK')	text/css	date:Sun,%2028%20Sep%202025%2017:00:10%20GMT	https://www.madebydesignesia.com/themes/jess/css/style.css	C:/buttttt/www.madebydesignesia.com/themes/jess/css/style.css	(from https://www.madebydesignesia.com/themes/jess/index.html)
08:26:17	51023/51023	---M--	200	added ('OK')	image/jpeg	date:Sun,%2028%20Sep%202025%2017:00:37%20GMT	https://www.madebydesignesia.com/themes/jess/images/misc/1.jpg	C:/buttttt/www.madebydesignesia.com/themes/jess/images/misc/1.jpg	(from https://www.madebydesignesia.com/themes/jess/index.html)
08:26:32	21443/21443	---M--	200	added ('OK')	image/jpeg	date:Wed,%2014%20Jun%202023%2005:01:10%20GMT	https://www.madebydesignesia.com/themes/jess/images/people/1.jpg	C:/buttttt/www.madebydesignesia.com/themes/jess/images/people/1.jpg	(from https://www.madebydesignesia.com/themes/jess/index.html)
08:27:07	16520/16520	---M--	200	added ('OK')	image/jpeg	date:Wed,%2014%20Jun%202023%2005:01:10%20GMT	https://www.madebydesignesia.com/themes/jess/images/people/2.jpg	C:/buttttt/www.madebydesignesia.com/themes/jess/images/people/2.jpg	(from https://www.madebydesignesia.com/themes/jess/index.html)
08:27:14	11001/11001	---M--	200	added ('OK')	image/jpeg	date:Wed,%2014%20Jun%202023%2005:01:10%20GMT	https://www.madebydesignesia.com/themes/jess/images/portfolio/1.jpg	C:/buttttt/www.madebydesignesia.com/themes/jess/images/portfolio/1.jpg	(from https://www.madebydesignesia.com/themes/jess/index.html)
08:27:18	1706/1706	---M-Z	200	added ('OK')	text/html	date:Wed,%2014%20Jun%202023%2005:00:56%20GMT	https://www.madebydesignesia.com/themes/jess/project-details-slider.html	C:/buttttt/www.madebydesignesia.com/themes/jess/project-details-slider.html	(from https://www.madebydesignesia.com/themes/jess/index.html)
08:27:24	1230/1230	---M-Z	200	added ('OK')	text/html	date:Wed,%2014%20Jun%202023%2005:00:56%20GMT	https://www.madebydesignesia.com/themes/jess/project-details-youtube.html	C:/buttttt/www.madebydesignesia.com/themes/jess/project-details-youtube.html	(from https://www.madebydesignesia.com/themes/jess/index.html)
08:27:25	17710/17710	---M--	200	added ('OK')	image/jpeg	date:Wed,%2014%20Jun%202023%2005:01:10%20GMT	https://www.madebydesignesia.com/themes/jess/images/portfolio/2.jpg	C:/buttttt/www.madebydesignesia.com/themes/jess/images/portfolio/2.jpg	(from https://www.madebydesignesia.com/themes/jess/index.html)
08:27:30	1779/1779	---M-Z	200	added ('OK')	text/html	date:Wed,%2014%20Jun%202023%2005:00:56%20GMT	https://www.madebydesignesia.com/themes/jess/project-details-image-big.html	C:/buttttt/www.madebydesignesia.com/themes/jess/project-details-image-big.html	(from https://www.madebydesignesia.com/themes/jess/index.html)
08:27:30	43157/43157	---M--	200	added ('OK')	image/jpeg	date:Wed,%2014%20Jun%202023%2005:01:10%20GMT	https://www.madebydesignesia.com/themes/jess/images/portfolio/3.jpg	C:/buttttt/www.madebydesignesia.com/themes/jess/images/portfolio/3.jpg	(from https://www.madebydesignesia.com/themes/jess/index.html)
08:27:30	6669/6669	---M--	200	added ('OK')	image/jpeg	date:Wed,%2014%20Jun%202023%2005:01:10%20GMT	https://www.madebydesignesia.com/themes/jess/images/portfolio/4.jpg	C:/buttttt/www.madebydesignesia.com/themes/jess/images/portfolio/4.jpg	(from https://www.madebydesignesia.com/themes/jess/index.html)
08:27:34	1656/1656	---M-Z	200	added ('OK')	text/html	date:Wed,%2014%20Jun%202023%2005:00:56%20GMT	https://www.madebydesignesia.com/themes/jess/project-details-slider-big.html	C:/buttttt/www.madebydesignesia.com/themes/jess/project-details-slider-big.html	(from https://www.madebydesignesia.com/themes/jess/index.html)
08:27:35	10452/10452	---M--	200	added ('OK')	image/jpeg	date:Wed,%2014%20Jun%202023%2005:01:10%20GMT	https://www.madebydesignesia.com/themes/jess/images/portfolio/5.jpg	C:/buttttt/www.madebydesignesia.com/themes/jess/images/portfolio/5.jpg	(from https://www.madebydesignesia.com/themes/jess/index.html)
08:27:36	1565/1565	---M-Z	200	added ('OK')	text/html	date:Wed,%2014%20Jun%202023%2005:00:56%20GMT	https://www.madebydesignesia.com/themes/jess/project-details-youtube-big.html	C:/buttttt/www.madebydesignesia.com/themes/jess/project-details-youtube-big.html	(from https://www.madebydesignesia.com/themes/jess/index.html)
08:27:37	24854/24854	---M--	200	added ('OK')	image/jpeg	date:Wed,%2014%20Jun%202023%2005:01:10%20GMT	https://www.madebydesignesia.com/themes/jess/images/portfolio/6.jpg	C:/buttttt/www.madebydesignesia.com/themes/jess/images/portfolio/6.jpg	(from https://www.madebydesignesia.com/themes/jess/index.html)
08:27:39	84234/84234	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2014%20Jun%202023%2005:01:08%20GMT	https://www.madebydesignesia.com/themes/jess/js/jquery.min.js	C:/buttttt/www.madebydesignesia.com/themes/jess/js/jquery.min.js	(from https://www.madebydesignesia.com/themes/jess/index.html)
08:27:40	60021/60021	---M--	200	added ('OK')	image/jpeg	date:Wed,%2014%20Jun%202023%2005:01:10%20GMT	https://www.madebydesignesia.com/themes/jess/images/news/1.jpg	C:/buttttt/www.madebydesignesia.com/themes/jess/images/news/1.jpg	(from https://www.madebydesignesia.com/themes/jess/index.html)
08:27:41	60174/60174	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2014%20Jun%202023%2005:01:10%20GMT	https://www.madebydesignesia.com/themes/jess/js/bootstrap.min.js	C:/buttttt/www.madebydesignesia.com/themes/jess/js/bootstrap.min.js	(from https://www.madebydesignesia.com/themes/jess/index.html)
08:27:42	3338/3338	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2014%20Jun%202023%2005:01:08%20GMT	https://www.madebydesignesia.com/themes/jess/js/easing.js	C:/buttttt/www.madebydesignesia.com/themes/jess/js/easing.js	(from https://www.madebydesignesia.com/themes/jess/index.html)
08:27:43	35514/35514	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2014%20Jun%202023%2005:01:10%20GMT	https://www.madebydesignesia.com/themes/jess/js/jquery.isotope.min.js	C:/buttttt/www.madebydesignesia.com/themes/jess/js/jquery.isotope.min.js	(from https://www.madebydesignesia.com/themes/jess/index.html)
08:27:43	16740/16740	---M-Z	200	added ('OK')	text/javascript	date:Sun,%2028%20Sep%202025%2016:59:57%20GMT	https://www.madebydesignesia.com/themes/jess/js/lenis.js	C:/buttttt/www.madebydesignesia.com/themes/jess/js/lenis.js	(from https://www.madebydesignesia.com/themes/jess/index.html)
08:27:43	1470/1470	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2014%20Jun%202023%2005:01:08%20GMT	https://www.madebydesignesia.com/themes/jess/js/validation.js	C:/buttttt/www.madebydesignesia.com/themes/jess/js/validation.js	(from https://www.madebydesignesia.com/themes/jess/index.html)
08:27:44	21014/21014	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2014%20Jun%202023%2005:01:08%20GMT	https://www.madebydesignesia.com/themes/jess/js/jquery.magnific-popup.min.js	C:/buttttt/www.madebydesignesia.com/themes/jess/js/jquery.magnific-popup.min.js	(from https://www.madebydesignesia.com/themes/jess/index.html)
08:27:44	44174/44174	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2014%20Jun%202023%2005:01:08%20GMT	https://www.madebydesignesia.com/themes/jess/js/owl.carousel.js	C:/buttttt/www.madebydesignesia.com/themes/jess/js/owl.carousel.js	(from https://www.madebydesignesia.com/themes/jess/index.html)
08:27:44	2045/2045	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2014%20Jun%202023%2005:01:08%20GMT	https://www.madebydesignesia.com/themes/jess/js/enquire.min.js	C:/buttttt/www.madebydesignesia.com/themes/jess/js/enquire.min.js	(from https://www.madebydesignesia.com/themes/jess/index.html)
08:27:45	87287/87287	---M--	200	added ('OK')	image/jpeg	date:Wed,%2014%20Jun%202023%2005:01:10%20GMT	https://www.madebydesignesia.com/themes/jess/images/news/3.jpg	C:/buttttt/www.madebydesignesia.com/themes/jess/images/news/3.jpg	(from https://www.madebydesignesia.com/themes/jess/index.html)
08:27:47	2913/2913	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2014%20Jun%202023%2005:01:10%20GMT	https://www.madebydesignesia.com/themes/jess/js/jquery.plugin.js	C:/buttttt/www.madebydesignesia.com/themes/jess/js/jquery.plugin.js	(from https://www.madebydesignesia.com/themes/jess/index.html)
